City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
261,karratha,-20.7377,116.8463,26.34,56,1,8.6,AU,1699699324
262,howard springs,-12.497,131.047,29.95,75,66,2.12,AU,1699699324
263,suntar,62.1444,117.6319,-7.58,76,100,5.33,RU,1699699325
264,acatlan de juarez,20.4167,-103.5833,17.03,93,100,0.63,MX,1699699326
265,smithers,54.7804,-127.1743,4.18,81,100,3.6,CA,1699699327
266,arhribs,36.7936,4.3116,20.03,42,20,3.61,DZ,1699699327
267,georgetown,5.4112,100.3354,27.79,91,40,1.03,MY,1699699107
268,stephenville,32.2207,-98.2023,12.44,79,100,2.06,US,1699699328
269,kapuskasing,49.4169,-82.4331,-2.95,86,100,3.6,CA,1699699329
270,bereket,39.2446,55.5154,16.32,30,2,2.52,TM,1699699329
271,peace river,56.2501,-117.286,2.59,69,75,1.03,CA,1699699330
272,whangarei,-35.7317,174.3239,8.36,86,9,1.38,NZ,1699699331
273,inhambane,-23.865,35.3833,27.56,54,0,6.03,MZ,1699699332
274,walvis bay,-22.9575,14.5053,20.77,64,40,5.92,NA,1699699332
275,benguela,-12.5763,13.4055,28.29,64,99,3.55,AO,1699699333
276,novohrad-volynskyi,50.5941,27.6165,8.32,87,100,5.77,UA,1699699333
277,park forest village,40.8067,-77.9169,5.2,89,100,0.0,US,1699699334
278,bathsheba,13.2167,-59.5167,27.34,89,75,9.77,BB,1699699334
279,holualoa,19.6228,-155.9522,22.1,91,100,3.09,US,1699699335
280,kalispell,48.1958,-114.3129,3.21,82,100,2.06,US,1699699335
281,sarandi grande,-33.7333,-56.3333,19.54,96,100,2.77,UY,1699699336
282,yanykurgan,43.915,67.2481,12.43,47,100,5.2,KZ,1699699337
283,berriane,32.8265,3.7669,21.45,27,0,6.32,DZ,1699699337
284,dawson creek,55.7666,-120.2362,0.8,69,0,2.06,CA,1699699338
285,tual,-5.6667,132.75,28.24,78,84,4.48,ID,1699699338
286,touros,-5.1989,-35.4608,27.87,64,19,7.4,BR,1699699339
287,boguchany,58.3814,97.4531,-12.1,93,5,0.93,RU,1699699339
288,taikang,46.8333,124.4167,-4.57,49,72,2.24,CN,1699699340
289,freeport,40.6576,-73.5832,7.98,83,0,3.09,US,1699699341
290,iquitos,-3.7481,-73.2472,24.02,100,75,1.03,PE,1699699342
291,nkoteng,4.5167,12.0333,28.12,63,100,1.33,CM,1699699342
292,itoman,26.1247,127.6694,23.01,78,75,6.69,JP,1699699343
293,vershino-darasunskiy,52.35,115.5167,-14.87,86,1,1.7,RU,1699699344
294,beruniy,41.6911,60.7525,12.98,38,0,7.2,UZ,1699699344
295,verkhnevilyuysk,63.4453,120.3167,-7.62,79,100,5.17,RU,1699699345
296,tamandare,-8.7597,-35.1047,28.12,59,55,4.74,BR,1699699345
297,lavena ponte tresa,45.9591,8.8653,15.07,53,0,1.54,IT,1699699346
298,ust'-ilimsk,58.0006,102.6619,-10.31,87,16,1.34,RU,1699699346
299,selfoss,63.9331,-20.9971,1.69,97,100,3.41,IS,1699699347
300,port blair,11.6667,92.75,29.02,79,75,2.06,IN,1699699348
301,obsharovka,53.125,48.8531,6.1,66,18,4.25,RU,1699699348
302,robertsport,6.7533,-11.3686,26.44,83,100,1.3,LR,1699699349
303,kruisfontein,-34.0033,24.7314,22.35,55,31,9.81,ZA,1699699349
304,daura,11.5538,11.4085,36.13,13,97,4.59,NG,1699699350
305,centerville,39.6284,-84.1594,0.92,87,0,0.0,US,1699699351
306,itanhaem,-24.1831,-46.7889,24.89,81,49,0.87,BR,1699699351
